"","name","zipcode","id","lat","lng","membership200","membership300","membership500"
"1","5 Points",35205,1,33.49509,-86.8084,1,1,1
"2","Airport Blvd (AL)",36608,2,30.68115,-88.29593,2,2,1
"3","Alabama A&M University",35811,3,34.79925,-86.50386,1,1,1
"4","Alabama Power",35203,4,33.51847,-86.80999,1,1,1
"5","Alabama State University",36104,5,32.39889,-86.31593,1,1,1
"6","Alabaster",35007,6,33.21751,-86.79307,1,1,1
"7","Alexander City [AL]",35010,7,32.91433,-85.93816,1,1,1
"8","Ann Street",36107,8,32.38434,-86.2795,1,1,1
"9","Athens (AL)",35611,9,34.76554,-87.08418,1,1,1
"10","Auburn",36830,10,32.5339,-85.49449,1,1,1
"11","Auburn In-Line DT",36832,11,32.59447,-85.58163,1,1,1
"12","Auburn Mall",36830,12,32.5339,-85.49449,1,1,1
"13","Auburn University",36849,13,32.59953,-85.48858,1,1,1
"14","Auburn University - ARENA Concessions",36849,14,32.59953,-85.48858,1,1,1
"15","Auburn University - Village Dining",36849,15,32.59953,-85.48858,1,1,1
"16","Bel Air Mall",36606,16,30.67088,-88.10617,2,2,1
"17","Birmingham-Shuttlesworth International Airport",35212,17,33.54765,-86.75272,1,1,1
"18","Cahaba Heights",35243,18,33.44185,-86.74055,1,1,1
"19","Calera",35040,19,33.10487,-86.72958,1,1,1
"20","Clift Farms",35758,20,34.71417,-86.74707,1,1,1
"21","Cullman South",35055,21,34.1542,-86.75932,1,1,1
"22","Daphne",36526,22,30.61187,-87.86151,2,2,1
"23","Dauphin Street",36606,23,30.67088,-88.10617,2,2,1
"24","East Dothan",36301,24,31.14387,-85.40321,1,1,1
"25","EastChase",36117,25,32.37831,-86.14627,1,1,1
"26","Eastwood Village",35210,26,33.5431,-86.6661,1,1,1
"27","Enterprise (AL)",36330,27,31.30743,-85.85854,1,1,1
"28","Eufaula [AL]",36027,28,31.93307,-85.20968,1,1,1
"29","Florence",35630,29,34.82526,-87.66018,1,1,1
"30","Foley",36535,30,30.38562,-87.72514,2,2,1
"31","Fort Payne",35968,31,34.48095,-85.77232,1,1,1
"32","Fultondale",35068,32,33.60933,-86.83174,1,1,1
"33","Gadsden (AL)",35901,33,34.04848,-85.92395,1,1,1
"34","Gardendale",35071,34,33.70376,-86.84286,1,1,1
"35","Governors Drive",35801,35,34.72497,-86.56304,1,1,1
"36","Greystone",35242,36,33.42371,-86.67073,1,1,1
"37","Guntersville",35976,37,34.34819,-86.32919,1,1,1
"38","Hampton Cove In-Line DT",35763,38,34.62022,-86.46615,1,1,1
"39","Helena (AL)",35080,39,33.25508,-86.91894,1,1,1
"40","Hoover Commons",35216,40,33.41995,-86.78746,1,1,1
"41","Hwy 280 at Crawford Road",36867,41,32.49823,-85.02304,1,1,1
"42","Inverness",35242,42,33.42371,-86.67073,1,1,1
"43","Jacksonville [AL]",36265,43,33.84659,-85.78662,1,1,1
"44","Jacksonville State University",36265,44,33.84659,-85.78662,1,1,1
"45","Jasper",35501,45,33.82145,-87.29544,1,1,1
"46","Leeds",35094,46,33.52057,-86.56127,1,1,1
"47","McCalla",35022,47,33.33107,-86.95959,1,1,1
"48","Midtown Plaza In-Line",35203,48,33.51847,-86.80999,1,1,1
"49","Montgomery-Promenade",36117,49,32.37831,-86.14627,1,1,1
"50","Muscle Shoals",35661,50,34.77737,-87.56331,1,1,1
"51","North Prattville",36066,51,32.48216,-86.42431,1,1,1
"52","Northport",35476,52,33.2271,-87.60464,1,1,1
"53","Northport West",35476,53,33.2271,-87.60464,1,1,1
"54","Oak Mountain",35124,54,33.31368,-86.76194,1,1,1
"55","Oxford",36203,55,33.58205,-85.83312,1,1,1
"56","Oxford Mall",36203,56,33.58205,-85.83312,1,1,1
"57","Parkway East",35215,57,33.64911,-86.70435,1,1,1
"58","Parkway Place",35801,58,34.72497,-86.56304,1,1,1
"59","Patton Creek",35244,59,33.35205,-86.8267,1,1,1
"60","Pell City",35125,60,33.62567,-86.29594,1,1,1
"61","Phenix City",36867,61,32.49823,-85.02304,1,1,1
"62","Prattville",36066,62,32.48216,-86.42431,1,1,1
"63","Riverchase Galleria",35244,63,33.35205,-86.8267,1,1,1
"64","Ross Clark Circle",36303,64,31.26389,-85.39213,1,1,1
"65","RSA Battlehouse",36602,65,30.69834,-88.03815,2,2,1
"66","RSA Regions Tower",36104,66,32.39889,-86.31593,1,1,1
"67","Samford University",35229,67,33.46434,-86.79399,1,1,1
"68","Schillinger Road",36695,68,30.6309,-88.27775,2,2,1
"69","Scottsboro [AL]",35769,69,34.59255,-86.09472,1,1,1
"70","South Parkway",35803,70,34.56476,-86.52185,1,1,1
"71","Southeast Decatur",35603,71,34.53712,-86.96717,1,1,1
"72","Southwest Decatur",35601,72,34.60616,-87.00795,1,1,1
"73","Spanish Fort",36527,73,30.69679,-87.87734,2,2,1
"74","Sylacauga [AL]",35150,74,33.18581,-86.24454,1,1,1
"75","Taylor & Vaughn",36116,75,32.27312,-86.21765,1,1,1
"76","The Grove",35226,76,33.39823,-86.84421,1,1,1
"77","TigerTown",36801,77,32.701,-85.39243,1,1,1
"78","Town Madison",35758,78,34.71417,-86.74707,1,1,1
"79","Troy (AL)",36081,79,31.90663,-85.89804,1,1,1
"80","Troy University",36082,80,31.80271,-85.95514,1,1,1
"81","Trussville (AL)",35235,81,33.61723,-86.65008,1,1,1
"82","Tuscaloosa",35404,82,33.21661,-87.48655,1,1,1
"83","Tuscaloosa Drive-Thru Only",35404,83,33.21661,-87.48655,1,1,1
"84","Tuscaloosa South",35405,84,33.12087,-87.55082,1,1,1
"85","Tuskegee University",36088,85,32.41911,-85.718,1,1,1
"86","University Drive",35816,86,34.73923,-86.62985,1,1,1
"87","University of Alabama",35487,87,33.21426,-87.54782,1,1,1
"88","University of Alabama - Huntsville",35896,88,34.75318,-86.65213,1,1,1
"89","University of Alabama Birmingham Hospital",35233,89,33.50916,-86.80132,1,1,1
"90","University of Alabama-Birmingham - Hill Center",35205,90,33.49509,-86.8084,1,1,1
"91","University of Alabama-Lloyd Hall",35404,91,33.21661,-87.48655,1,1,1
"92","University of North Alabama",35632,92,34.80763,-87.68043,1,1,1
"93","University of South Alabama",36688,93,30.69559,-88.18783,2,2,1
"94","Valley [AL]",36854,94,32.75257,-85.18484,1,1,1
"95","Valleydale",35242,95,33.42371,-86.67073,1,1,1
"96","Vestavia Hills",35216,96,33.41995,-86.78746,1,1,1
"97","Whitesburg Drive",35802,97,34.67398,-86.55449,1,1,1
"98","Wildwood Centre",35209,98,33.46507,-86.81107,1,1,1
"99","303 & Waddell",85388,99,33.60743,-112.43413,3,3,2
"100","7th Ave. & Roosevelt",85007,100,33.44682,-112.09073,3,3,2
"101","89th & Shea",85260,101,33.60943,-111.89113,3,3,2
"102","Ahwatukee Foothills Town Center",85044,102,33.33997,-112.00617,3,3,2
"103","Alma School & Southern",85202,103,33.38252,-111.87482,3,3,2
"104","Arcadia",85018,104,33.5194,-111.99309,3,3,2
"105","Arizona & Ocotillo",85248,105,33.2145,-111.86667,3,3,2
"106","Arizona State University",85281,106,33.42805,-111.93157,3,3,2
"107","Arizona State University - Downtown",85004,107,33.45159,-112.06988,3,3,2
"108","Arizona State University - West Campus",85306,108,33.62333,-112.17569,3,3,2
"109","Arrowhead",85382,109,33.65548,-112.24771,3,3,2
"110","Avondale",85392,110,33.47713,-112.30981,3,3,2
"111","Bethany Home",85015,111,33.50908,-112.10184,3,3,2
"112","Broadway at Priest",85282,112,33.3943,-111.93242,3,3,2
"113","Camelback & 16th Street",85016,113,33.50953,-112.03041,3,3,2
"114","Casa Grande",85194,114,32.89675,-111.62439,3,3,2
"115","Chandler Festival",85224,115,33.32351,-111.87616,3,3,2
"116","Chase Field",85004,116,33.45159,-112.06988,3,3,2
"117","Crossroads Towne Center",85286,117,33.27146,-111.83156,3,3,2
"118","Deer Valley",85027,118,33.6771,-112.10206,3,3,2
"119","El Con",85716,119,32.24222,-110.92351,3,3,2
"120","Estrella Pkwy & I-10",85338,120,33.37252,-112.40826,3,3,2
"121","Flagstaff",86001,121,35.35119,-111.75607,3,3,2
"122","Flagstaff Route 66",86004,122,35.37546,-111.37515,3,3,2
"123","Gilbert Gateway Towne Center",85212,123,33.32064,-111.63088,3,3,2
"124","Goodyear",85395,124,33.48208,-112.40518,3,3,2
"125","Grand Canyon University",85017,125,33.50898,-112.12381,3,3,2
"126","Grand Canyon University - Diamondback Apartments",85017,126,33.50898,-112.12381,3,3,2
"127","Higley & Baseline",85234,127,33.36479,-111.73924,3,3,2
"128","I-19 & Irvington",85714,128,32.16997,-110.94653,3,3,2
"129","Ina at Thornydale",85741,129,32.3364,-111.04077,3,3,2
"130","Ironwood & Ocotillo",85140,130,33.24805,-111.48921,3,3,2
"131","Mesa Riverview",85201,131,33.4336,-111.84929,3,3,2
"132","Metrocenter",85029,132,33.59546,-112.11002,3,3,2
"133","Norterra",85085,133,33.75637,-112.07426,3,3,2
"134","Northern Arizona University",86011,134,35.18953,-111.65469,3,3,2
"135","Oracle Road",85705,135,32.27119,-110.99172,3,3,2
"136","Paradise Valley",85028,136,33.5816,-112.00811,3,3,2
"137","Phoenix Sky Harbor International Airport",85034,137,33.43465,-112.01989,3,3,2
"138","Power & McKellips",85215,138,33.51101,-111.58027,3,3,2
"139","Prescott Valley Crossroads",86314,139,34.59823,-112.33079,3,3,2
"140","Queen Creek",85142,140,33.19302,-111.66645,3,3,2
"141","Raintree Drive & 101",85260,141,33.60943,-111.89113,3,3,2
"142","San Tan Village Marketplace",85295,142,33.30639,-111.73804,3,3,2
"143","Scottsdale 101",85054,143,33.67515,-111.94763,3,3,2
"144","South Mountain",85042,144,33.35911,-112.04949,3,3,2
"145","Stapley Drive",85204,145,33.39666,-111.78786,3,3,2
